,timestep,relativenumber
1,0,1
2,1,0.996514903
3,2,0.993029807
4,3,0.98954471
5,4,0.986059614
6,5,0.982574517
7,6,0.97908942
8,7,0.975604324
9,8,0.972119227
10,9,0.968634131
11,10,0.965149034
12,11,0.961663937
13,12,0.958178841
14,13,0.954693744
15,14,0.951208648
16,15,0.947723551
17,16,0.944238454
18,17,0.940753358
19,18,0.937268261
20,19,0.933783164
21,20,0.930298068
22,21,0.926812971
23,22,0.923327875
24,23,0.919842778
25,24,0.916357681
26,25,0.912872585
27,26,0.909387488
28,27,0.905902392
29,28,0.902417295
30,29,0.898932198
31,30,0.895447102
32,31,0.891962005
33,32,0.888476909
